IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt5034266/,"6.9 based on 9,543 user ratings", Our Souls at Night (2017) 
/title/tt6330514/,"6.3 based on 1,440 user ratings", Out of Thin Air (2017) 
/title/tt7936386/,7.6 based on 98 user ratings, Paul Hollywood's Big Continental Road Trip (2017) (TV Series) 
/title/tt7752880/,6.2 based on 43 user ratings, Satu Hari Nanti (2017) 
/title/tt4779496/,6.5 based on 507 user ratings," Monster High: Boo York, Boo York (2015) (Video) "
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
/title/tt11057912/,6.8 based on 16 user ratings, TUNA Girl (2019) 
Not Found,Not Found,Not Found
/title/tt7946836/,"6.5 based on 2,958 user ratings", Animal World (2018) 
/title/tt5057140/,"5.6 based on 29,710 user ratings", Hold the Dark (2018) 
/title/tt7476418/,5.8 based on 224 user ratings, Notes from Dunblane: Lesson from a School Shooting (2018) (Short) 
/title/tt8871764/,4.0 based on 656 user ratings, Made in Mexico (2018) (TV Series) 
/title/tt5169582/,6.8 based on 591 user ratings, Single (II) (2015) 
Not Found,Not Found,Not Found
/title/tt3418604/,7.6 based on 973 user ratings, The Sinking of Van Der Wijck (2013) 
/title/tt8893608/,6.5 based on 480 user ratings," Dos Cataluñas (2018) aka ""Two Catalonias"" "
/title/tt5931144/,7.2 based on 499 user ratings, Bobby Sands: 66 Days (2016) 
/title/tt8069036/,"7.4 based on 7,406 user ratings", Bard of Blood (2019) (TV Series) 
/title/tt7871636/,"4.5 based on 1,901 user ratings", Deliha 2 (2018) 
/title/tt10687134/,7.2 based on 85 user ratings, Dragons: Rescue Riders (2019) (TV Series) 
/title/tt8110640/,"6.2 based on 29,101 user ratings", In the Shadow of the Moon (2019) 
/title/tt9184970/,"7.6 based on 1,661 user ratings", Skylines (I) (2019) (TV Series) 
/title/tt10682000/,6.5 based on 967 user ratings," Sound & Fury (2019) (Short) aka ""Sturgill Simpson Presents Sound & Fury"" "
/title/tt7971476/,"7.6 based on 10,724 user ratings", The Politician (2019) (TV Series) 
/title/tt5128712/,6.8 based on 261 user ratings," Dian wu bu (2016) aka ""Weeds on Fire"" "
/title/tt4685750/,"6.2 based on 2,017 user ratings", Much Loved (2015) 
/title/tt0264734/,"6.5 based on 10,188 user ratings", Joseph: King of Dreams (2000) (Video) 
/title/tt10305616/,5.8 based on 530 user ratings, Malaal (2019) 
/title/tt1462900/,"6.6 based on 29,634 user ratings", The Grandmaster (2013) 
/title/tt8452308/,"7.1 based on 1,499 user ratings"," El Recluso (2018) (TV Series) aka ""The Inmate"" "
/title/tt5360952/,"5.1 based on 16,899 user ratings", The Hurricane Heist (2018) 
/title/tt7427130/,6.6 based on 818 user ratings, Def Comedy Jam 25 (2017) (TV Special) 
/title/tt5119264/,7.1 based on 268 user ratings, Restless Creature: Wendy Whelan (2016) 
/title/tt3557464/,"7.1 based on 1,737 user ratings", Print the Legend (2014) 
/title/tt10907798/,6.3 based on 120 user ratings, Birders (2019) (Short) 
Not Found,Not Found,Not Found
/title/tt2261287/,"6.8 based on 17,910 user ratings", Leap! (2016) 
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
/title/tt2032572/,"5.2 based on 10,261 user ratings", USS Indianapolis: Men of Courage (2016) 
/title/tt1620680/,"4.2 based on 37,763 user ratings", A Wrinkle in Time (2018) 
/title/tt6588332/,6.6 based on 59 user ratings, Teach Us All (2017) 
/title/tt4911876/,4.3 based on 213 user ratings, White Island (2016) 
/title/tt7832848/,"5.6 based on 1,737 user ratings", Inside Man: Most Wanted (2019) 
/title/tt10847194/,6.7 based on 675 user ratings, Jeff Dunham: Beside Himself (2019) (TV Special) 
/title/tt6015706/,"3.0 based on 1,027 user ratings", China Salesman (2017) 
/title/tt2380564/,"5.9 based on 2,223 user ratings", Swearnet: The Movie (2014) 
/title/tt5121816/,"6.3 based on 18,928 user ratings"," El bar (2017) aka ""The Bar"" "
/title/tt10076106/,4.8 based on 384 user ratings, Manmadhudu 2 (2019) 
/title/tt9717424/,4.3 based on 128 user ratings, Team Kaylie (2019) (TV Series) 
